label,associatedSequences,otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,verbatimLocality,recordedBy
DSFRE239,DSFRE239-08.COI-5P,NA,OL-0352,NA,NA,NA,NA,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,Oliver Lucanus,NA,NA,Brazil,NA,Xingu,NA,"Brazil: Pará State, Xingu River drainage",NA
DSFRE240,DSFRE240-08.COI-5P,NA,OL-0353,NA,NA,NA,NA,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,Oliver Lucanus,NA,NA,Brazil,NA,Xingu,NA,"Brazil: Pará State, Xingu River drainage",NA
DSFRE241,DSFRE241-08.COI-5P,NA,OL-0354,NA,NA,NA,NA,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,Oliver Lucanus,NA,NA,Brazil,NA,Xingu,NA,"Brazil: Pará State, Xingu River drainage",NA
GU804896,GU804896.1,NA,BIOUG<CAN>:OL-0355,NA,NA,NA,NA,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,Oliver Lucanus,NA,NA,Brazil,NA,NA,NA,Brazil,NA
HM405164,HM405164.1,DCC00274,DCC00274,NA,NA,MaterialSample,Other material,Myleus micans (Lütken 1875),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,micans,species,NA,NA,-16.152,-45.694,Brazil,Minas Gerais,São Francisco,2004-10-16,"Rio Urucuia, Sao Francisco",Daniel Carvalho
HM405165,HM405165.1,DCC00673,DCC00673,NA,NA,MaterialSample,Other material,Myleus micans (Lütken 1875),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,micans,species,NA,NA,-17.984,-44.169,Brazil,Minas Gerais,São Francisco,NA,"Rio Curimatai, Sao Francisco",Daniel Carvalho
KX086786,KX086786.1,PE10044,18990,OS,NA,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,NA,-3.751667,-73.31625,Peru,Loreto,Nanay,NA,"Iquitos, Río Nanay, Amazon basin",NA
KX868671,KX868671.1,NA,MPEG-33923a,NA,NA,NA,NA,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,NA,NA,NA,,NA,NA,NA,NA,NA
KX868672,KX868672.1,NA,MPEG_33923b,NA,NA,NA,NA,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,NA,NA,NA,,NA,NA,NA,NA,NA
KX868673,KX868673.1,1238787,1942,GEA,NA,PreservedSpecimen,Other material,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,"Andrade, M.",-5.84227,-50.44416,Brazil,Pará,Tocantins,2010-03-20,"rio Itacaiunas, Parauapebas/PA",Marcelo Andrade
